Name EN,Name ZH
Dragon Ball Z - Super Butouden 2 (Japan),龙珠Z-超武斗传2
Dragon Ball Z - Super Butouden 2 (Japan) (Rev 1),龙珠Z-超武斗传2
Dragon Ball Z - Super Butouden 3 (Japan),龙珠Z-超武斗传3
Dragon Ball Z - Super Gokuu Den - Kakusei Hen (Japan),龙珠Z-超悟空传-突激篇
Dragon Ball Z - Super Gokuu Den - Totsugeki Hen (Japan),龙珠Z-超悟空传-觉醒篇
Dragon Ball Z - Super Saiya Densetsu (Japan),龙珠Z-超级赛亚人传说
Dragon Ball Z - Super Saiya Densetsu (Japan) (Rev 1),龙珠Z-超级赛亚人传说
Dragon Ball Z - Ultime Menace (France),龙珠Z-超武斗传3
Dragon Knight 4 (Japan),龙骑士4
Dragon Quest I & II (Japan),勇者斗恶龙1+2
Dragon Quest III - Soshite Densetsu e... (Japan),勇者斗恶龙3
Dragon Quest V - Tenkuu no Hanayome (Japan),勇者斗恶龙5
Dragon Quest VI - Maboroshi no Daichi (Japan),勇者斗恶龙6
Dragon Slayer - Eiyuu Densetsu (Japan),英雄传说
Dragon Slayer - Eiyuu Densetsu (Japan) (Rev 1) (NP),英雄传说
Dragon Slayer - Eiyuu Densetsu II (Japan),英雄传说2
Dragon View (USA),屠龙战士2
Dragon's Earth (Japan),龙族地球
"Dragon's Lair (Europe) (En,Fr,De,Es,It,Nl,Sv)",龙穴
Dragon's Lair (USA),龙穴
Dragon's Magic (Japan) (En),龙穴
Drakkhen (Europe),屠龙传记
Drakkhen (Germany),屠龙传记
Drakkhen (Japan),屠龙传记
Drakkhen (USA),屠龙传记
Dream Basketball - Dunk & Hoop (Japan),梦幻篮球赛
Dream Maze - Kigurumi Daibouken (Japan),梦迷宫
Dream T.V. (USA),梦幻电视
Drift King Shutokou Battle '94 - Tsuchiya Keiichi & Bandou Masaaki (Japan),首都高赛车'94
Drift King Shutokou Battle 2 - Tsuchiya Keiichi & Bandou Masaaki (Japan),首都高赛车2
Dual Orb - Seirei Tama Densetsu (Japan),圣灵珠传说
Dual Orb II (Japan),圣灵珠传说2
"Duel, The - Test Drive II (Europe)",决斗-名车大赛2
"Duel, The - Test Drive II (USA)",决斗-名车大赛2
Dun Quest - Majin Fuuin no Densetsu (Japan),魔神封印传说
Dungeon Master (Europe),迷宫魔兽
Dungeon Master (Japan),迷宫魔兽
Dungeon Master (Japan) (Rev 1),迷宫魔兽
Dungeon Master (USA),迷宫魔兽
Dynamaite - The Las Vegas (Japan),赌城大战
Dynamic Stadium (Japan),动感棒球
E.V.O. - Search for Eden (USA),46亿年物语
Earth Defense Force (Europe),地球防卫队
Earth Defense Force (USA),地球防卫队
Earth Light (Japan),太空模拟战
Earth Light - Luna Strike (Japan),太空模拟战2
EarthBound (USA),地球冒险
Earthworm Jim (Europe),蚯蚓吉姆
Earthworm Jim (Japan),蚯蚓吉姆
Earthworm Jim (USA),蚯蚓吉姆
Earthworm Jim 2 (Europe),蚯蚓吉姆2
Earthworm Jim 2 (USA),蚯蚓吉姆2
Edono Kiba (Japan),牙
Eek! The Cat (Europe),依凯猫
Eek! The Cat (USA),依凯猫
Eien no Filerna (Japan),永远的法连那
Elfaria - The Isle of the Blest (Japan),未来勇者
Elfaria II - The Quest of the Meld (Japan),未来勇者2
Elite Soccer (USA),精华足球
Elnard (Japan),时空引导者
Emerald Dragon (Japan),翡翠龙
Emit Vol. 1 - Toki no Maigo (Japan),时之迷子1
Emit Vol. 2 - Inochigake no Tabi (Japan),时之迷子2
Emit Vol. 3 - Watashi ni Sayonara o (Japan),时之迷子3
Emmitt Smith Football (USA),钢铁阵容足球
Energy Breaker (Japan),光能战士
Equinox (Europe),秘境魔宝
Equinox (USA),秘境魔宝
"Eric Cantona Football Challenge (France) (En,Fr,De,Es,It,Nl,Sv)",爱瑞克足球
Esparks - Ijikuu kara no Raihousha (Japan),异次元来访者
ESPN Baseball Tonight (Europe),今晚棒球转播
ESPN Baseball Tonight (USA),今晚棒球转播
ESPN National Hockey Night (USA),晚间曲棍球转播
ESPN Speedworld (USA),超速世界赛车转播
ESPN Sunday Night NFL (USA),星期日晚间美国橄榄球联盟赛
Estpolis Denki (Japan),四狂神战记
Estpolis Denki II (Japan),四狂神战记2
Euro Football Champ (Europe),欧洲冠军盃足球赛
Europe Sensen (Japan),欧陆战线
Exertainment Mountain Bike Rally (USA),越野脚踏车
"Exertainment Mountain Bike Rally + Speed Racer (Europe) (En,Fr,De,Es,Nl)",越野脚踏车+极速车手
Exertainment Mountain Bike Rally + Speed Racer (USA),越野脚踏车+极速车手
Exhaust Heat (Europe),热爆赛车
Exhaust Heat (Japan) (En),热爆赛车
Exhaust Heat II - F1 Driver e no Michi (Japan),热爆赛车2
Extra Innings (USA),白热野球
Eye of the Beholder (Japan),偷窥之眼
F-1 Grand Prix (Japan),F1GP赛车
F-1 Grand Prix - Part II (Japan),F1GP赛车2
F-1 Grand Prix - Part III (Japan),F1GP赛车3
F-15 Super Strike Eagle (Japan) (En),F-15猎鹰行动
F-Zero (Europe),F零式赛车
F-Zero (Japan) (En),F零式赛车
F-Zero (USA),F零式赛车
F1 Pole Position (Europe),F1极致场地赛
F1 Pole Position (USA),F1极致场地赛
F1 Pole Position 2 (Europe),F1极致场地赛2
F1 ROC - Race of Champions (USA),F1冠军赛车
F1 World Championship Edition (Europe),F1世界冠军赛
F1-ROC II - Race of Champions (USA),F1冠军赛车2
Faceball 2000 (USA),小精灵炮弹大对决
Famicom Bunko - Hajimari no Mori (Japan) (NP),任天堂文库-起始之森
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (NP),任天堂侦探俱乐部2
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (Rev 1) (NP),任天堂侦探俱乐部2
Family Dog (Europe),家有苯狗
Family Dog (USA),家有苯狗
Family Feud (USA),领地战役
Family Feud (USA) (Rev 1),领地战役
Farland Story (Japan),古大陆物语
Farland Story 2 (Japan),古大陆物语2
Fatal Fury (Europe),饿狼传说
Fatal Fury (USA),饿狼传说
Fatal Fury 2 (Europe),饿狼传说2
Fatal Fury 2 (USA),饿狼传说2
Fatal Fury Special (Europe),饿狼传说特别版
Fatal Fury Special (USA),饿狼传说特别版
Feda - The Emblem of Justice (Japan),王者之师
"Fever Pitch Soccer (Europe) (En,Fr,De,Es,It)",狂热足球
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Sv) (A8FE)",FIFA-世界杯之路'98
"FIFA 97 (Europe) (En,Fr,De,Es,It,Sv)",FIFA足球97
FIFA International Soccer (Europe),FIFA国际足球赛
FIFA International Soccer (Japan),FIFA国际足球赛
FIFA International Soccer (USA),FIFA国际足球赛
"FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)",FIFA足球'96
"FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv)",FIFA足球'96
"FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv)",FIFA足球'97
Fighter's History (Japan),格斗烈传
Fighter's History (USA) (Rev 1),格斗烈传
Fighter's History - Mizoguchi Kikiippatsu!! (Japan),格斗烈传2
Fighting Baseball (Japan),战斗棒球
Final Fantasy - Mystic Quest (USA),最终幻想外传
Final Fantasy - Mystic Quest (USA) (Rev 1),最终幻想外传
Final Fantasy II (USA),最终幻想2
Final Fantasy II (USA) (Rev 1),最终幻想2
Final Fantasy III (USA),最终幻想3
Final Fantasy III (USA) (Rev 1),最终幻想3
Final Fantasy IV (Japan),最终幻想4
Final Fantasy IV (Japan) (Rev 1),最终幻想4
Final Fantasy IV - Easy Type (Japan),最终幻想4-简易版
Final Fantasy USA - Mystic Quest (Japan),最终幻想-神秘历险
Final Fantasy V (Japan),最终幻想5
Final Fantasy VI (Japan),最终幻想6
Final Fight (Europe),快打旋风
Final Fight (Japan),快打旋风
Final Fight (USA),快打旋风
Final Fight 2 (Europe),快打旋风2
Final Fight 2 (Japan),快打旋风2
Final Fight 2 (USA),快打旋风2
Final Fight 3 (Europe),快打旋风3
Final Fight 3 (USA),快打旋风3
Final Fight Guy (Japan),快打旋风-凯
Final Fight Guy (USA),快打旋风-凯
Final Fight Tough (Japan),快打旋风3
Final Knockout (Japan) (En),最后一拳击倒
Final Stretch (Japan),最后一圈
Finalset (Japan),终极网球
Fire Emblem - Monshou no Nazo (Japan),火焰纹章-纹章之谜
Fire Emblem - Monshou no Nazo (Japan) (Rev 1),火焰纹章-纹章之谜
Fire Emblem - Seisen no Keifu (Japan),火焰纹章-圣战之系谱
Fire Emblem - Thracia 776 (Japan),火焰纹章-多拉基亚776
Fire Emblem - Thracia 776 (Japan) (NP),火焰纹章-多拉基亚776
Fire Emblem - Thracia 776 (Japan) (Rev 1) (NP),火焰纹章-多拉基亚776
Fire Fighting (Japan),救火战士
Fire Pro Joshi - All Star Dream Slam (Japan),火爆女子摔角
"Firemen, The (Europe) (En,Fr,De)",消防员的故事
"Firemen, The (Japan)",消防员的故事
Firepower 2000 (USA),火力战车2000
FireStriker (USA),爆裂斗球
First Queen - Ornic Senki (Japan),凯萨林女皇
First Samurai (Europe),第一武士
First Samurai (Japan),第一武士
First Samurai (USA),第一武士
Fishing Koushien (Japan),甲子园
"Flashback (Europe) (En,Fr,De)",闪灵
Flashback (Japan),闪灵
"Flashback - The Quest for Identity (USA) (En,Fr,De)",闪灵-身份追踪
"Flintstones, The (Europe) (En,Fr,De,Es,It)",石头族乐园-电影版
"Flintstones, The (USA) (En,Fr,De,Es,It)",石头族乐园-电影版
"Flintstones, The - The Treasure of Sierra Madrock (Europe)",摩登原始人-谢拉马德之石
"Flintstones, The - The Treasure of Sierra Madrock (Japan)",摩登原始人-谢拉马德之石
"Flintstones, The - The Treasure of Sierra Madrock (USA)",摩登原始人-谢拉马德之石
Flying Hero - Bugyuru no Daibouken (Japan),飞行英雄
Football Fury (USA),美式足球大战
Foreman for Real (Europe),真实拳击
Foreman for Real (Japan) (En),真实拳击
Foreman for Real (USA),真实拳击
Fortune Quest - Dice o Korogase (Japan),命运传说
Frank Thomas Big Hurt Baseball (Europe),法兰克的大棒一挥
Frank Thomas Big Hurt Baseball (Japan) (En),法兰克的大棒一挥
Frank Thomas Big Hurt Baseball (USA),法兰克的大棒一挥
Frantic Flea (Europe),疯狂跳蚤
Frantic Flea (USA),疯狂跳蚤
Frogger (USA),青蛙过街
From TV Animation Slam Dunk - SD Heat Up!! (Japan),灌篮高手-热血激斗
From TV Animation Slam Dunk - Shuueisha Limited (Japan),灌篮高手-出版社限定版
From TV Animation Slam Dunk - Yonkyou Gekitotsu!! (Japan),灌篮高手-四强激战
From TV Animation Slam Dunk 2 - IH Yosen Kanzen Ban!! (Japan),灌篮高手2-全国大赛完全版
Front Mission (Japan),前线任务
Front Mission (Japan) (Rev 1),前线任务
Front Mission Series - Gun Hazard (Japan),前线任务外传-枪之危机
Full Power (Japan) (En),动力十足大竞速
Full Throttle - All-American Racing (Europe),全速狂飙
Full Throttle - All-American Racing (USA),全速狂飙
Fun 'n Games (Europe),乐趣游戏
Fun 'n Games (USA),乐趣游戏
Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (Japan),船木诚胜-斗技传承
Fune Tarou (Japan),船太郎
Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan),古田敦也的模拟专业棒球2
Fushigi no Dungeon 2 - Fuurai no Shiren (Japan),不可思议的迷宫2-风来的西林
Fushigi no Dungeon 2 - Fuurai no Shiren (Japan) (Rev 1) (NP),不可思议的迷宫2-风来的西林
G.O.D - Mezame yo to Yobu Koe ga Kikoe (Japan),G.O.D幻想世纪
Gaia Gensouki (Japan),盖亚幻想记
Gaia Saver - Hero Saidai no Sakusen (Japan),盖亚战记
Gakkou de Atta Kowai Hanashi (Japan),学校怪谈
Galaxy Robo (Japan),银河骑兵机器人
Galaxy Wars (Japan) (En),银河大战
Gambler Jiko Chuushinha - Mahjong Ooisen (Japan),自己中心派
Gambler Jiko Chuushinha 2 - Dorapon Quest (Japan),自己中心派2
Gambling Hourouki (Japan),赌城放浪记
Game no Tatsujin (Japan),游戏达人
Game no Tetsujin - The Shanghai (Japan),游戏铁人-上海篇
Gamera - Gyaos Gekimetsu Sakusen (Japan),飞天神龟-卡美拉
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan),大盗伍佑卫门
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 2),大盗伍佑卫门
Ganbare Goemon 2 - Kiteretsu Shougun McGuiness (Japan),大盗伍佑卫门2
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan),大盗伍佑卫门3
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan),大盗伍佑卫门4
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 2),大盗伍佑卫门4
Ganbare! Daiku no Gen-san (Japan),加油!大力工头阿源君
Gangan Gan-chan (Japan),魔法气泡闯通关
Ganpuru - Gunman's Proof (Japan),西部英豪-枪手的考验
Ganso Pachi-Slot Nihonichi (Japan),柏青哥大攻略
Ganso Pachinko Ou (Japan),悠游柏青哥
Garou Densetsu - Shukumei no Tatakai (Japan),饿狼传说
Garou Densetsu - Shukumei no Tatakai (Japan) (Rev 1),饿狼传说
Garou Densetsu 2 - Aratanaru Tatakai (Japan),饿狼传说2
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Rev 1),饿狼传说2
Garou Densetsu Special (Japan),饿狼传说特别版
Gdleen (Japan),太空小妖精
Gdleen (Japan) (Rev 1),太空小妖精
Gegege no Kitarou - Fukkatsu! Tenma Daiou (Japan),鬼太郎
Gekitotsu Dangan Jidousha Kessen - Battle Mobile (Japan) (En),激突弹丸自动车决战
Gekitou Burning Pro Wres (Japan),激斗火焰摔角
Gemfire (USA),火宝战记
Genghis Khan II - Clan of the Gray Wolf (USA),元朝秘史2
Genjuu Ryodan (Japan) (NP),幻兽旅团
Genocide 2 (Japan),灭绝战记
George Foreman's KO Boxing (Europe),格罗致KO拳击
George Foreman's KO Boxing (USA),格罗致KO拳击
George Foreman's KO Boxing (USA) (Rev 1),格罗致KO拳击
Get in the Hole (Japan),一杆进洞
Getsumen no Anubis (Japan),月面基地
Ghost Chaser Densei (Japan),电精
Ghoul Patrol (Europe),鬼屋历险
Ghoul Patrol (Japan),鬼屋历险
Ghoul Patrol (USA),鬼屋历险
Gindama Oyakata no Pachinko Hisshouhou (Japan),柏青哥必胜法
Ginga Eiyuu Densetsu (Japan),银河英雄传说
Ginga Sengoku Gunyuuden Rai (Japan),银河战国群雄传
Gionbana (Japan),祇园花
Go Go Ackman (Japan),GO!GO!恶魔少年
Go Go Ackman 2 (Japan),GO!GO!恶魔少年2
Go Go Ackman 3 (Japan),GO!GO!恶魔少年3
Go! Go! Dodge League (Japan),躲避球小子
Go! Go! Dodge League (Japan) (Rev 1),躲避球小子
Goal! (USA),射门
Gods (Europe),上帝战士
Gods (USA),上帝战士
Gojira - Kaijuu Daikessen (Japan),哥吉拉-怪兽大决战
Gokinjo Boukentai (Japan),近郊冒险队
Gokujou Parodius (Japan),极上疯狂大射击
Gon (Japan) (En),小恐龙-刚刚君
Goof Troop (Europe),高飞狗海贼岛大冒险
Goof Troop (France),高飞狗海贼岛大冒险
Goof Troop (Germany),高飞狗海贼岛大冒险
Goof Troop (USA),高飞狗海贼岛大冒险
Goofy to Max - Kaizoku-jima no Daibouken (Japan),高飞与麦克斯-海盗岛的大冒险
Gouketsuji Ichizoku (Japan),豪血寺一族
Gourmet Sentai Barayarou (Japan),美食战队
Gousou Jinrai Densetsu - Musha (Japan),武装机甲传说-武者
GP-1 (Europe),GP-1重型机车赛
GP-1 (Japan) (En),GP-1重型机车赛
GP-1 (USA),GP-1重型机车赛
GP-1 - Part II (USA),GP-1重型机车赛2
GP-1 RS - Rapid Stream (Japan) (En),GP-1行云流水赛
Gradius III (Japan) (En),宇宙巡航舰3
Gradius III (USA),宇宙巡航舰3
Granhistoria - Genshi Sekaiki (Japan),幻史世界记
"Great Battle Gaiden 2, The - Matsuri da Wasshoi (Japan)",SD英雄大战外传2-庆典欢呼
"Great Battle II, The - Last Fighter Twin (Japan)",SD英雄之挑战-迎神祭
"Great Battle III, The (Japan)",SD英雄之挑战3
"Great Battle IV, The (Japan)",SD英雄之挑战4
"Great Battle V, The (Japan)",SD英雄之挑战5
"Great Circus Mystery Starring Mickey & Minnie, The (Europe)",米老鼠-神秘马戏团
"Great Circus Mystery Starring Mickey & Minnie, The (USA)",米老鼠-神秘马戏团
"Great Waldo Search, The (USA)",超级找一找
GS Mikami - Joreishi wa Nice Body (Japan),GS美神-极乐大作战
GT Racing (Japan),GT竞速赛车
GunForce (Japan) (En),武装部队
GunForce (USA),武装部队
Habu Meijin no Omoshiro Shougi (Japan),羽生名人的趣味将棋
Hagane (Japan),修罗战士-钢
Juusou Kihei Valken (Japan),重装机兵瓦尔肯
Sid Meier's Civilization (USA),席德·梅尔的文明
SNSP Aging Ver 1.02 (Japan) (En),SNSP老化版1.02
Super Baseball 2020 (USA),超级棒球2020
"Tintin - Prisoners of the Sun (Europe) (En,Fr,De,Es)",丁丁历险记-太阳囚徒
Williams Arcade's Greatest Hits (Europe),大型电玩合集
Williams Arcade's Greatest Hits (USA),大型电玩合集
"Adventures of Mighty Max, The (Europe)",超能麦克斯大冒险
Crash Dummy - Dr. Zabu o Sukuidase (Japan),碰撞测试假人-拯救扎布博士
Hagane - The Final Conflict (Europe),修罗战士-钢
Hagane - The Final Conflict (USA),修罗战士-钢
Haisei Mahjong - Ryouga (Japan),牌势麻雀-凌驾
Hakunetsu Pro Yakyuu - Ganba League (Japan),白热野球
Hakunetsu Pro Yakyuu - Ganba League (Japan) (Rev 1),白热野球
Hakunetsu Pro Yakyuu '93 - Ganba League (Japan),白热野球'93
Hakunetsu Pro Yakyuu '94 - Ganba League 3 (Japan),白热野球'94
HAL's Hole in One Golf (Europe),一杆进洞
HAL's Hole in One Golf (USA),一杆进洞
Hameln no Violin Hiki (Japan),魔法提琴手
Hammer Lock Wrestling (USA),超魄力摔角
Hana no Keiji - Kumo no Kanata ni (Japan),北斗游侠-花之庆次
Hanafuda Ou (Japan),花札王
Hanguk Pro Yagu (Korea),韩国职业棒球
"Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan)",半熟英雄
Hansei Zaru Jiro-kun no Daibouken (Japan),猴子大冒险
Haou Taikei Ryuu Knight - Lord of Paladin (Japan),霸王大系-龙骑士
Haou Taikei Ryuu Knight - Lord of Paladin (Japan) (Rev 1),霸王大系-龙骑士
Harapeko Bakka (Japan),恐龙抢蛋
HardBall III (USA),燃烧野球3
Harley's Humongous Adventure (Europe),哈利巨人屋探险
Harley's Humongous Adventure (USA),哈利巨人屋探险
Harvest Moon (Europe),牧场物语
Harvest Moon (Germany),牧场物语
Harvest Moon (USA),牧场物语
Hashire Hebereke (Japan),可爱动物大竞赛
Hat Trick Hero (Japan) (En),帽子戏法足球英雄
Hat Trick Hero 2 (Japan),帽子戏法足球英雄2
Hatayama Hatch no Pro Yakyuu News! - Jitsumei Ban (Japan),实名版棒球
Hayazashi Nidan Morita Shougi (Japan),2段森田将棋
Hayazashi Nidan Morita Shougi 2 (Japan),森田将棋2
Head-On Soccer (USA),迎头痛击-对决足球
Hebereke no Oishii Puzzle wa Irimasenka (Japan),魔法气泡昇官大竞赛
Hebereke no Popoon (Japan),魔法气泡运动大对决
Hebereke's Popoitto (Europe),魔法气泡叠叠乐
Hebereke's Popoon (Europe),魔法气泡运动大对决
Heian Fuuunden (Japan),平安风云传
Heisei Gunjin Shougi (Japan),平成军人将棋
Heisei Inu Monogatari Bow - Pop'n Smash!! (Japan),家有贱狗
Heisei Shin Onigashima - Kouhen (Japan),平成新鬼岛-后篇
Heisei Shin Onigashima - Zenpen (Japan),平成新鬼岛-前篇
Heiwa Pachinko World (Japan),柏青哥世界1
Heiwa Pachinko World 2 (Japan),柏青哥世界2
Heiwa Pachinko World 3 (Japan),柏青哥世界3
Heiwa Parlor! Mini 8 - Pachinko Jikki Simulation Game (Japan),8厘米柏青哥实战测试
Hello! Pac-Man (Japan),早安!小精灵
Heracles no Eikou III - Kamigami no Chinmoku (Japan),斗人魔境传3
Heracles no Eikou IV - Kamigami kara no Okurimono (Japan),斗人魔境传4
Hero Senki - Project Olympus (Japan),英雄战记
Hi no Ouji - Yamato Takeru (Japan),火之皇子-大和战神
Higashio Osamu Kanshuu Super Pro Yakyuu Stadium (Japan),超级野球
Hiouden - Mamono-tachi to no Chikai (Japan),绯王传
Hiryuu no Ken S - Golden Fighter (Japan),飞龙拳S
Hiryuu no Ken S - Hyper Version (Japan),飞龙拳S-加强版
Hissatsu Pachinko Collection (Japan),必杀柏青哥1
Hissatsu Pachinko Collection 2 (Japan),必杀柏青哥2
Hissatsu Pachinko Collection 3 (Japan),必杀柏青哥3
Hissatsu Pachinko Collection 4 (Japan),必杀柏青哥4
Hisshou 777 Fighter - Pachi-Slot Ryuuguu Densetsu (Japan),必胜777
Hisshou 777 Fighter II - Pachi-Slot Maruhi Jouhou (Japan),必胜777-2
Hisshou 777 Fighter III - Kokuryuu Ou no Fukkatsu (Japan),必胜777-3
Hisshou Pachi-Slot Fun (Japan),必胜水果盘
Hit the Ice - VHL - The Official Video Hockey League (USA),暴力冰上曲棍球
Hokuto no Ken 5 - Tenma Ryuuseiden Ai Zetsu Shou (Japan),北斗神拳5-天魔流星传
Hokuto no Ken 6 - Gekitou Denshouken Haou e no Michi (Japan),北斗神拳6-霸王之道
Hokuto no Ken 7 - Seiken Retsuden Denshousha e no Michi (Japan),北斗神拳7-圣拳列传
Holy Striker (Japan),爆裂斗球
Holy Umbrella - Dondera no Mubou!! (Japan),光伞传说
Home Alone (Europe),小鬼当家
Home Alone (Japan),小鬼当家
Home Alone (USA),小鬼当家
Home Alone 2 - Lost in New York (Europe),小鬼当家2
Home Alone 2 - Lost in New York (USA),小鬼当家2
Home Improvement - Power Tool Pursuit! (USA),居家DIY
Honkaku Mahjong - Tetsuman (Japan),本格麻雀-彻万
Honkaku Mahjong - Tetsuman II (Japan),本格麻雀-彻万2
Honkaku Shougi - Fuuunji Ryuuou (Japan),本格将棋-风云儿龙王
Honkakuha Igo - Gosei (Japan),碁圣-FX晶片版
Honke Hanafuda (Japan),碁圣
Honke Sankyo Fever - Jikki Simulation (Japan),本家实战机台柏青哥1
Honke Sankyo Fever 2 - Jikki Simulation (Japan),本家实战机台柏青哥2
Honke Sankyo Fever 3 - Jikki Simulation (Japan),本家实战机台柏青哥3
Honoo no Toukyuuji - Dodge Danpei (Japan),火焰斗球儿-弹平
Hook (Europe),虎克船长
Hook (Japan),虎克船长
Hook (USA),虎克船长
Hoshi no Kirby 3 (Japan),星之卡比3
Hoshi no Kirby Super Deluxe (Japan),星之卡比-超级豪华版
Hoshi no Kirby Super Deluxe (Japan) (Rev 2),星之卡比-超级豪华版
Houkago in Beppin Jogakuin (Japan),放课后
Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan),蓬莱学院的冒险-天空学生大混战
Human Baseball (Japan),休曼棒球
Human Grand Prix (Japan) (En),休曼GP赛车1
Human Grand Prix II (Japan) (En),休曼GP赛车2
Human Grand Prix III - F1 Triple Battle (Japan) (En),休曼GP赛车3
Human Grand Prix IV - F1 Dream Battle (Japan) (En),休曼GP赛车4
"Humans, The (Europe)",人类总动员
"Humans, The (Germany)",人类总动员
Hungry Dinosaurs (Europe),恐龙抢蛋
"Hunt for Red October, The (Europe)",猎杀红色十月
"Hunt for Red October, The (USA)",猎杀红色十月
Hurricanes (Europe),飓风足球大进击
Hurricanes (USA),飓风足球大进击
Hyper Iria (Japan),伊莉雅
Hyper V-Ball (Europe),超级排球
Hyper V-Ball (USA),超级排球
HyperZone (Europe),超次元地带
HyperZone (Japan) (En),超次元地带
HyperZone (USA),超次元地带
Idea no Hi (Japan),天目伊底亚之日
"Ignition Factor, The (USA)",救火战士
Igo Club (Japan),围棋俱乐部
Ihatovo Monogatari (Japan),童话物语
Ikari no Yousai (Japan),怒之要塞
Illusion of Gaia (USA),盖亚幻想记制美版
Illusion of Time (Europe),盖亚幻想记
Illusion of Time (France),盖亚幻想记
Illusion of Time (Germany),盖亚幻想记
Illusion of Time (Germany) (Rev 1),盖亚幻想记
Illusion of Time (Spain),盖亚幻想记
Illvanian no Shiro (Japan),超魔兽战记
Imperium (USA),超钢战机
Inazuma Serve da! Super Beach Volley (Japan) (En),闪电海滩排球
Incantation (Europe),咒语
Incantation (USA),咒语
"Incredible Crash Dummies, The (Europe)",不可思议之人偶
"Incredible Crash Dummies, The (USA)",不可思议之人偶
"Incredible Hulk, The (Europe)",美国超人之绿巨人
"Incredible Hulk, The (USA)",美国超人之绿巨人
Indiana Jones' Greatest Adventures (Europe),印第安纳琼斯大冒险
Indiana Jones' Greatest Adventures (Japan),印第安纳琼斯大冒险
Indiana Jones' Greatest Adventures (USA),印第安纳琼斯大冒险
Inindo - Way of the Ninja (USA),伊忍道
Inspector Gadget (USA),G型神探
"International Sensible Soccer - World Champions (Europe) (En,Fr,De,It) (Rev 1)",国际足球-世界冠军
International Superstar Soccer (Europe),国际超级明星足球
International Superstar Soccer (USA),国际超级明星足球
International Superstar Soccer Deluxe (Europe),国际高级明星足球
International Superstar Soccer Deluxe (USA),国际高级明星足球
International Tennis Tour (Europe),国际网球公开赛
International Tennis Tour (Japan) (En),国际网球公开赛
International Tennis Tour (USA),国际网球公开赛
Ippatsu Gyakuten (Japan),一发逆转
"Irem Skins Game, The (USA)",Irem高尔夫
Iron Commando - Koutetsu no Senshi (Japan),钢铁战士
Isozuri - Ritou Hen (Japan),矶钓离岛篇
Itadaki Street 2 - Neon Sign wa Barairo ni (Japan),创业人生2
"Itchy & Scratchy Game, The (Europe)",辛普森家庭-猫鼠大战
"Itchy & Scratchy Game, The (USA)",辛普森家庭-猫鼠大战
Itoi Shigesato no Bass Tsuri No. 1 (Japan),系井重里巴斯钓鱼NO1
Itou Hatasu Rokudan no Shougi Doujou (Japan),伊藤果六段之将棋道场
Itou Hatasu Rokudan no Shougi Doujou (Japan) (Rev 1),伊藤果六段之将棋道场
Izzy's Quest for the Olympic Rings (Europe),奥林匹克大进击
Izzy's Quest for the Olympic Rings (USA),奥林匹克大进击
J.League '96 Dream Stadium (Japan),J联赛'96-梦幻球场
J.League Excite Stage '94 (Japan),J联盟热力足球'94
J.League Excite Stage '94 (Japan) (Rev 1),J联盟热力足球'94
J.League Excite Stage '95 (Japan),J联盟热力足球'95
J.League Excite Stage '96 (Japan),J联盟热力足球'96
J.League Excite Stage '96 (Japan) (Rev 1),J联盟热力足球'96
J.League Soccer - Prime Goal (Japan),J联赛足球-首要目标
J.League Soccer - Prime Goal (Japan) (Rev 1),J联赛足球-首要目标
J.League Soccer - Prime Goal 2 (Japan),J联赛足球-首要目标2
J.League Soccer - Prime Goal 3 (Japan),J联赛足球-首要目标3
J.League Super Soccer (Japan),J联赛超级足球
J.League Super Soccer '95 - Jikkyou Stadium (Japan),J联赛超级足球'95-实况球场
J.R.R. Tolkien's The Lord of the Rings - Volume 1 (USA),指环王-第一卷
J.R.R. Tolkien's The Lord of the Rings - Volume One (Europe),指环王-第一卷
J.R.R. Tolkien's The Lord of the Rings - Volume One (Germany),指环王-第一卷
Jack Nicklaus Golf (Europe),杰克·尼克劳斯高尔夫
Jack Nicklaus Golf (France),杰克·尼克劳斯高尔夫
Jack Nicklaus Golf (USA),杰克·尼克劳斯高尔夫
Jaleco Rally Big Run - The Supreme 4WD Challenge (Japan) (En),大跑者越野赛车
James Bond Jr (Europe),少年庞德
James Bond Jr (USA),少年庞德
James Pond's Crazy Sports (Europe),爆笑庞德-疯狂运动会
